in_local_head,local_exists,local_head_sha256,local_sha256,path,status,upstream_differs_from_local_head,upstream_object,upstream_sha256,upstream_text_differs_from_local_head,upstream_type,working_differs_from_head,working_text_differs_from_head
False,,,8dc74471a78786eeb6ac20cab84cb3aa70395a13b95a49d37c6f8671be7a8a1b,tools/plot_tripod_gait_compare.py,local_only,,,,,,,
False,,,60a18527e565afcf7b56e431dd5458b94ac33e4d39029a820cb6df0c7c30e8cd,tools/analyze_tripod_gait_compare.py,local_only,,,,,,,
False,,,5d32b7c1a74496f0de72b2263bea1afccf7c33e5079f9703b739f084871729af,tools/fpga_lifecycle/SHA256SUMS,local_only,,,,,,,
False,,,4e9f53b24dbc295fe96405227e03c325e9318a10e8a3028b249d8802f938d181,tools/fpga_lifecycle/evidence/overlay-results.txt,local_only,,,,,,,
False,,,71cb7bdf61f989613013aa02ceed9582ce68931bff782b12f309d4a73b7091cb,tools/fpga_lifecycle/evidence/candidate-source-sha256.json,local_only,,,,,,,
False,,,9b3c896ba06dd5dc02871dbbfc1530e984150af2ad237f2c5ef3a09580947c49,tools/fpga_lifecycle/evidence/fake-linkage.txt,local_only,,,,,,,
False,,,e3f58b5d26605b6d7af8117215b696377800a9aa9fa5605f14b8845383cf7b87,tools/fpga_lifecycle/evidence/native-compile.txt,local_only,,,,,,,
False,,,dab367de2a37fcd4915bac0f29d1b1739967582c73a999df8849942b660cf273,tools/fpga_lifecycle/evidence/native-command.txt,local_only,,,,,,,
False,,,922505ff1457764b27b3cd635eaaf5f571025c1833a1eb5c32f789253e893d0c,tools/fpga_lifecycle/evidence/orin-recheck.json,local_only,,,,,,,
False,,,a51b318762df694c3aadbd1ddf124a3a692e6155f57c1a539a7d7be1cad081c6,tools/fpga_lifecycle/evidence/new-bridge.json,local_only,,,,,,,
False,,,df73438cb8e9f1a0dd1b8bf275a451c1924cde5fe234c9398d6e74ed067e349f,tools/fpga_lifecycle/evidence/service-results.txt,local_only,,,,,,,
False,,,23523b90a5869f961057fa559d5b966d3fcbd084434ed2431c19556889b92715,tools/fpga_lifecycle/evidence/endpoint-results.txt,local_only,,,,,,,
False,,,42a193d099a97ebab57a7a9c4f184d5f74cd8684b790a09e912106ae304592b6,tools/fpga_lifecycle/evidence/sbrio-recheck.txt,local_only,,,,,,,
False,,,10f7b7675dbfb430c525cc8fa731070813017cd474d12f2288b7ff30232e9d90,tools/fpga_lifecycle/evidence/offline-results.json,local_only,,,,,,,
False,,,2d220443075d8353c202ee8e8b605ac42b649b2af93cf44972f480bcdfb83d3b,tools/fpga_lifecycle/evidence/orin-journal-filter.txt,local_only,,,,,,,
False,,,f6269fe1634e1ea29bbe366adb77cd2955b363d226501354a6dc77b00387d3b0,src/redrhex_msgs/package.xml,local_only,,,,,,,
False,,,c7ecf0236e9fc47befff2b576d4fd938b782c5c5f02e4a07c2925f178a00ef80,src/redrhex_msgs/CMakeLists.txt,local_only,,,,,,,
False,,,04f39e4b676c9590a965f841e2dc53241ffa49b2e20d4556424efe2e34dd2aba,src/redrhex_msgs/msg/RedRhexMotorState.msg,local_only,,,,,,,
False,,,6e85e9ab46c546451e6c31496471a9b33e7b96aff9ea819b9137b9994cb9ddb8,src/redrhex_msgs/msg/RedRhexMotorCommand.msg,local_only,,,,,,,
False,,,7224e98c57171da0808ba88ad6cd96cc43911db7bbbc8ba544549f5e0e104a54,src/rinbo_fsm/config/manual_velocity.yaml,local_only,,,,,,,
False,,,ad974a1585f4d194cd837b1805bec2769912751d23bb08fed8e40339c76dfa7a,src/rinbo_fsm/config/tripod_safety_test.yaml,local_only,,,,,,,
False,,,a936e2ddf8ce74f27b058d476c5851c55159090038a9d8e798cd31cb4c59456c,src/rinbo_fsm/config/manual_phase.yaml,local_only,,,,,,,
False,,,10460f802770f20e3bbd4812c48fa1a4817cd99796df929d30df5a0505e61dc9,src/rinbo_fsm/config/manual_single_leg.yaml,local_only,,,,,,,
False,,,e7199556f7483a93c20cefe93c631150e7498df97e76e775ebb3735ef6e12e9b,src/rinbo_fsm/config/disabled_leg_template.yaml,local_only,,,,,,,
False,,,434f34fdf67a368f617a76d50615ba591cb2cb15aa44dfaf1fae5df29ed1d657,src/rinbo_fsm/config/l1_degraded_test.yaml,local_only,,,,,,,
False,,,c578eebfcf85e8db769fae93e208e497c0dd42f332d26c9d48706a94588aef25,src/rinbo_ros_bridge/test/test_motor_output_limits.cpp,local_only,,,,,,,
False,,,3c0152f71014b2269edcd0e619071668b2e3b971d2c84c70b62ef7212a9b8d12,src/rinbo_ros_bridge/test/test_power_command_epoch_guard.cpp,local_only,,,,,,,
False,,,4646d1084ed6feaf5db6d69b228fbcb575dd17741398c3ac5af9c8ca27be5cbc,src/rinbo_data_recorder/scripts/rinbo_log_control,local_only,,,,,,,
False,,,46d03ec1c5483a986b0d597b1846e161fcc5f562b50a3c0fd5920f5d921e49ea,src/rinbo_fsm/test/test_control_velocity.cpp,local_only,,,,,,,
False,,,2586fc17c44b6ae6389dbc83270c2f119b8dc25105f389038bfbce0aecd56d90,src/rinbo_fsm/test/test_standing_multileg.cpp,local_only,,,,,,,
False,,,052fef9c2806591bc2fe04d6154f34f907ce81d32586ffdd53690f34bc2a61ca,src/rinbo_fsm/test/assert_sin_sweep_retired.cmake,local_only,,,,,,,
